Gene_ID	Solid5500_2014_11_07_1_L01-1-Idx_3-3.bam	Solid5500_2014_11_07_1_L01-1-Idx_4-4.bam	Solid5500_2014_11_07_1_L01-1-Idx_5-5.bam	Solid5500_2014_11_07_1_L01-1-Idx_6-6.bam	Solid5500_2014_11_07_1_L02-1-Idx_7-7.bam	Solid5500_2014_11_07_1_L02-1-Idx_8-8.bam	Solid5500_2014_11_07_1_L02-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L02-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L03-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_11-11.bam	Solid5500_2014_11_07_1_L03-1-Idx_12-12.bam	Solid5500_2014_11_07_1_L04-1-Idx_1-1.bam	Solid5500_2014_11_07_1_L04-1-Idx_2-2.bam	Solid5500_2014_11_07_1_L04-1-Idx_3-3.bam	Solid5500_2014_11_07_1_L04-1-Idx_4-4.bam	Solid5500_2014_11_07_1_L04-1-Idx_5-5.bam	Solid5500_2014_11_07_1_L05-1-Idx_5-5.bam	Solid5500_2014_11_07_1_L05-1-Idx_6-6.bam	Solid5500_2014_11_07_1_L05-1-Idx_7-7.bam	Solid5500_2014_11_07_1_L05-1-Idx_8-8.bam	Solid5500_2014_11_07_1_L05-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L06-1-Idx_8-8.bam	Solid5500_2014_11_07_1_L06-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L06-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L06-1-Idx_11-11.bam	Solid5500_2014_11_07_1_L06-1-Idx_12-12.bam
ENSDARG00000076051	2	0	1	1	1	0	1	2	3	0	0	0	1	7	0	7	10	1	6	2	10	10	6	1	7	1	1
ENSDARG00000088691	0	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000096571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000090143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000063606	11	3	5	2	9	5	3	10	9	3	1	1	1	24	10	19	23	1	20	9	22	33	24	5	15	7	15
ENSDARG00000063150	45	15	37	4	35	15	10	43	11	22	8	13	12	147	55	95	102	17	84	55	51	143	99	10	112	47	44
ENSDARG00000084364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000021907	1301	1000	1730	592	1394	714	505	932	703	522	1055	815	133	262	218	299	262	80	222	239	411	275	206	83	219	177	130
ENSDARG00000019406	176	219	248	130	196	255	130	315	161	195	170	247	88	109	110	98	98	47	75	74	91	75	62	68	65	55	62
ENSDARG00000041203	684	833	1869	685	606	1070	1329	2085	455	704	1008	872	367	687	505	405	371	236	530	457	458	456	286	222	437	333	297
ENSDARG00000091521	92	57	100	40	63	80	97	127	60	55	109	48	15	42	39	50	25	18	46	51	61	35	21	12	47	28	21
ENSDARG00000090525	436	244	278	125	360	148	60	128	285	149	140	117	138	86	139	78	135	109	59	62	60	95	75	53	51	133	48
ENSDARG00000067794	68	81	196	89	96	134	101	118	42	63	141	60	3	9	4	5	3	2	18	6	72	7	11	4	0	4	8
ENSDARG00000087865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093039	6	5	9	5	3	3	6	3	1	2	9	3	0	0	1	1	0	1	1	1	3	0	1	0	0	1	0
ENSDARG00000087215	32	27	4	7	47	18	8	11	11	6	7	6	0	2	1	3	0	0	0	0	0	3	1	1	0	1	0
ENSDARG00000091715	1555	915	888	288	2753	993	779	890	495	259	742	172	220	117	219	202	82	156	141	193	182	138	145	161	132	145	106
ENSDARG00000088432	1	9	5	4	2	4	4	8	5	3	11	1	0	9	2	24	0	1	20	2	168	4	6	0	22	4	18
ENSDARG00000096633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
